"name","scientific_name","description","image_link","cleaned_name","cleaned_description"
"Ocean Whitefish","Caulolatilus princeps","Ocean whitefish (Caulolatilus princeps) is a marine ray-finned fish related to tilefishes, found in the eastern Pacific and valued as a food fish.","https://a-z-animals.com/media/2022/11/Caulolatilus_princeps-1024x408.jpg","ocean whitefish","[REDACTED] (Caulolatilus princeps) is a marine ray-finned fish related to tilefishes, found in the eastern Pacific and valued as a food fish."
"Oceanic Whitetip Shark","Carcharhinus longimanus","A large, pelagic requiem shark known for broad, rounded pectoral fins often tipped with white; historically common in tropical and subtropical open oceans.","https://a-z-animals.com/media/2022/07/shutterstock_107155163-1024x711.jpg","oceanic whitetip shark","A large, pelagic requiem [REDACTED] known for broad, rounded pectoral fins often tipped with white; historically common in tropical and subtropical open oceans."
"Ocellated Turkey","Meleagris ocellata","A large galliform bird (turkey) endemic to the lowland forests of the Yucatán Peninsula region, notable for iridescent plumage and distinctive eye-like (ocellated) spots on the tail feathers.","https://a-z-animals.com/media/2022/01/shutterstock_1369385525-1024x683.jpg","ocellated turkey","A large galliform bird ([REDACTED]) endemic to the lowland forests of the Yucatán Peninsula region, notable for iridescent plumage and distinctive eye-like ([REDACTED]) spots on the tail feathers."
"Ocelot","Leopardus pardalis","The ocelot is a medium-sized Neotropical wild cat characterized by a richly patterned coat of rosettes and elongated spots; it is primarily nocturnal/crepuscular and a versatile predator of small-to-medium vertebrates.","https://a-z-animals.com/media/animals/images/original/ocelot.jpg","ocelot","The [REDACTED] is a medium-sized Neotropical wild cat characterized by a richly patterned coat of rosettes and elongated spots; it is primarily nocturnal/crepuscular and a versatile predator of small-to-medium vertebrates."
"Octopus","Octopoda","Octopuses are soft-bodied, eight-armed cephalopod mollusks in the order Octopoda, known for advanced nervous systems, flexible bodies, camouflage via chromatophores, and complex behaviors such as problem-solving and tool use.","https://a-z-animals.com/media/2022/11/shutterstock_1353786482-1024x683.jpg","octopus","[REDACTED]es are soft-bodied, eight-armed cephalopod mollusks in the order Octopoda, known for advanced nervous systems, flexible bodies, camouflage via chromatophores, and complex behaviors such as problem-solving and tool use."
"Oenpelli python","Simalia oenpelliensis","The Oenpelli python (Simalia oenpelliensis) is a large, non-venomous python endemic to northern Australia, associated especially with rugged sandstone escarpments and rocky habitats in western Arnhem Land (Northern Territory). It is one of Australia’s largest snake species and is a habitat-specialist compared with many other Australian pythons.","https://a-z-animals.com/media/2022/06/oenpelli-python-picture-id1329442633-1024x614.jpg","oenpelli python","The [REDACTED] (Simalia [REDACTED]ensis) is a large, non-venomous [REDACTED] endemic to northern Australia, associated especially with rugged sandstone escarpments and rocky habitats in western Arnhem Land (Northern Territory). It is one of Australia’s largest snake species and is a habitat-specialist compared with many other Australian [REDACTED]s."
"Oilfish","Ruvettus pretiosus","The oilfish (Ruvettus pretiosus) is a large, deep-water, predatory ray-finned fish (a snake mackerel) noted for its very oily flesh rich in wax esters. It occurs widely in tropical to warm-temperate oceans and is sometimes marketed as a food fish, though overconsumption can cause gastrointestinal issues due to indigestible wax esters.","https://a-z-animals.com/media/2022/12/Oilfish-1024x687.jpg","oilfish","The [REDACTED] (Ruvettus pretiosus) is a large, deep-water, predatory ray-finned fish (a snake mackerel) noted for its very oily flesh rich in wax esters. It occurs widely in tropical to warm-temperate oceans and is sometimes marketed as a food fish, though overconsumption can cause gastrointestinal issues due to indigestible wax esters."
"Okapi","Okapia johnstoni","The okapi is a forest-dwelling African ungulate and the only living species in the genus Okapia. It is the closest living relative of the giraffe, sharing the family Giraffidae, but is adapted to dense rainforest rather than open savanna.","https://a-z-animals.com/media/2021/04/Weirdest-Animal_-Okapi-1024x535.jpg","okapi","The [REDACTED] is a forest-dwelling African ungulate and the only living species in the genus [REDACTED]a. It is the closest living relative of the giraffe, sharing the family Giraffidae, but is adapted to dense rainforest rather than open savanna."
"Old English Sheepdog","Canis lupus familiaris","A large, shaggy-coated herding dog breed developed in England, historically used for driving cattle and sheep; now primarily a companion and show breed.","https://a-z-animals.com/media/2022/01/Types-of-heeler-dogs-Old-English-Sheepdog-1024x535.jpg","old english sheepdog","A large, shaggy-coated herding dog breed developed in England, historically used for driving cattle and sheep; now primarily a companion and show breed."
"Old House Borer","Hylotrupes bajulus","The Old House Borer (Hylotrupes bajulus) is a longhorn beetle whose larvae tunnel through dry, seasoned softwood (especially pine, spruce, fir), sometimes causing significant structural damage in buildings. Adults are elongate beetles; the damaging stage is the larva, which lives hidden within timber.","https://a-z-animals.com/media/2022/10/Old-House-Borer-1024x683.jpg","old house borer","The [REDACTED] (Hylotrupes bajulus) is a longhorn beetle whose larvae tunnel through dry, seasoned softwood (especially pine, spruce, fir), sometimes causing significant structural damage in buildings. Adults are elongate beetles; the damaging stage is the larva, which lives hidden within timber."
"Oleander Hawk Moth","Daphnis nerii","Daphnis nerii is a large, fast-flying hawk-moth (sphinx moth) noted for its green-and-cream camouflage pattern and strong, hovering flight. It is a well-known migratory moth in parts of its range.","https://a-z-animals.com/media/2022/08/Oleander-Hawk-Moth-on-Green-Leaves-1024x678.jpg","oleander hawk moth","Daphnis nerii is a large, fast-flying [REDACTED]-[REDACTED] (sphinx [REDACTED]) noted for its green-and-cream camouflage pattern and strong, hovering flight. It is a well-known migratory [REDACTED] in parts of its range."
"Olingo","Bassaricyon","Olingos are small, arboreal, nocturnal members of the raccoon family (Procyonidae) living primarily in Neotropical forests. They are slender-bodied, long-tailed mammals with dense fur and a pointed snout, and are mainly frugivorous/omnivorous.","https://a-z-animals.com/media/2022/11/shutterstock_1271728540-1024x683.jpg","olingo","[REDACTED]s are small, arboreal, nocturnal members of the raccoon family (Procyonidae) living primarily in Neotropical forests. They are slender-bodied, long-tailed mammals with dense fur and a pointed snout, and are mainly frugivorous/omnivorous."
"Olive Baboon","Papio anubis","The olive baboon is a large, highly social Old World monkey widely distributed across sub-Saharan Africa, known for its adaptability and omnivorous diet.","https://a-z-animals.com/media/2022/01/olive-baboon2-1024x535.jpg","olive baboon","The [REDACTED] is a large, highly social Old World monkey widely distributed across sub-Saharan Africa, known for its adaptability and omnivorous diet."
"Olive python","Liasis olivaceus","The olive python (Liasis olivaceus) is a large, non-venomous Australian python known for its robust build and typically olive to brown coloration. It is a constrictor that preys on mammals, birds, and other vertebrates, often associated with rocky habitats and waterways.","https://a-z-animals.com/media/2022/08/olive-python-liasis-olivaceus-suspended-infront-of-a-white-background-picture-id177494098-1024x614.jpg","olive python","The [REDACTED] (Liasis olivaceus) is a large, non-venomous Australian [REDACTED] known for its robust build and typically [REDACTED] to brown coloration. It is a constrictor that preys on mammals, birds, and other vertebrates, often associated with rocky habitats and waterways."
"Olive Sea Snake","Aipysurus laevis","The olive sea snake (Aipysurus laevis) is a venomous marine elapid (“true sea snake”) adapted for life in tropical coastal waters, with a laterally compressed paddle-like tail and strong diving ability.","https://a-z-animals.com/media/2022/05/Olive-sea-snake-header-1024x614.jpg","olive sea snake","The [REDACTED] (Aipysurus laevis) is a venomous marine elapid (“true [REDACTED] [REDACTED]”) adapted for life in tropical coastal waters, with a laterally compressed paddle-like tail and strong diving ability."
"Olm","Proteus anguinus","The olm (Proteus anguinus) is a troglobitic (cave-adapted), fully aquatic salamander endemic to the Dinaric karst of the Balkans. It is famous for its eyeless/low-vision condition, pale coloration, and extreme longevity and fasting tolerance.","https://a-z-animals.com/media/2020/01/Olm-header-1024x439.jpg","olm","The [REDACTED] (Proteus anguinus) is a troglobitic (cave-adapted), fully aquatic salamander endemic to the Dinaric karst of the Balkans. It is famous for its eyeless/low-vision condition, pale coloration, and extreme longevity and fasting tolerance."
"Olympic Marmot","Marmota olympus","The Olympic marmot (Marmota olympus) is a large ground squirrel (marmot) endemic to the Olympic Mountains on Washington’s Olympic Peninsula. It is known for colonial living, burrowing, and seasonal hibernation in alpine and subalpine environments.","https://a-z-animals.com/media/2023/01/What_a_Lovely_Marmot_4238903046-1024x685.jpg","olympic marmot","The [REDACTED] ([REDACTED]a olympus) is a large ground squirrel ([REDACTED]) endemic to the [REDACTED] Mountains on Washington’s [REDACTED] Peninsula. It is known for colonial living, burrowing, and seasonal hibernation in alpine and subalpine environments."
"Onagadori Chicken","Gallus gallus domesticus","Onagadori is a Japanese ornamental chicken breed renowned for exceptionally long tail feathers produced by reduced/absent molt in the male’s tail and saddle feathers.","https://a-z-animals.com/media/2022/10/Onagadori-Chicken-1024x683.jpg","onagadori chicken","[REDACTED] is a Japanese ornamental [REDACTED] breed renowned for exceptionally long tail feathers produced by reduced/absent molt in the male’s tail and saddle feathers."
"Onager","Equus hemionus onager","The onager most commonly refers to the Persian onager, a subspecies of the Asiatic wild ass (Equus hemionus), a swift, arid-land equid native to parts of Iran and historically wider regions of Southwest Asia.","https://a-z-animals.com/media/2022/11/Onager-1024x673.jpg","onager","The [REDACTED] most commonly refers to the Persian [REDACTED], a subspecies of the Asiatic wild ass (Equus hemionus), a swift, arid-land equid native to parts of Iran and historically wider regions of Southwest Asia."
"Opabinia","Opabinia regalis","Opabinia regalis is an extinct, soft-bodied Cambrian animal best known from the Middle Cambrian Burgess Shale (Canada). It is a classic example of early arthropod(-relative) diversity and is often discussed as a stem-group arthropod with an unusual body plan.","https://a-z-animals.com/media/2022/07/Opabinia-1024x576.jpg","opabinia","[REDACTED] regalis is an extinct, soft-bodied Cambrian animal best known from the Middle Cambrian Burgess Shale (Canada). It is a classic example of early arthropod(-relative) diversity and is often discussed as a stem-group arthropod with an unusual body plan."
"Opah","Lampridae","Opahs are large, round-bodied pelagic marine fishes (genus Lampris) known for their metallic coloration and red/orange fins. They are notable among fishes for regional endothermy—able to keep parts of the body (notably swimming muscles and sometimes the brain/eyes) warmer than surrounding water.","https://a-z-animals.com/media/2022/08/shutterstock_1011948259-1024x685.jpg","opah","[REDACTED]s are large, round-bodied pelagic marine fishes (genus Lampris) known for their metallic coloration and red/orange fins. They are notable among fishes for regional endothermy—able to keep parts of the body (notably swimming muscles and sometimes the brain/eyes) warmer than surrounding water."
"Opaleye (Rudderfish)","Girella nigricans","A deep-bodied marine sea chub common along the eastern Pacific coast, especially California; noted for its conspicuous pale/golden ring around the eye (the “opal eye”).","https://a-z-animals.com/media/2023/02/shutterstock_691214191-1024x683.jpg","opaleye","A deep-bodied marine sea chub common along the eastern Pacific coast, especially California; noted for its conspicuous pale/golden ring around the eye (the “opal eye”)."
"Opossum","Didelphidae","Opossums are New World marsupials (family Didelphidae) found from southern Canada through much of Central and South America. They are typically omnivorous, opportunistic foragers, with many species being nocturnal and at least partly arboreal. Didelphidae is the largest living marsupial family and represents a major lineage of American marsupials.","https://a-z-animals.com/media/animals/images/original/opossum.jpg","opossum","[REDACTED]s are New World marsupials (family Didelphidae) found from southern Canada through much of Central and South America. They are typically omnivorous, opportunistic foragers, with many species being nocturnal and at least partly arboreal. Didelphidae is the largest living marsupial family and represents a major lineage of American marsupials."
"Oranda Goldfish","Carassius auratus","The Oranda is a fancy, domesticated goldfish variety characterized by a prominent fleshy headgrowth and a deep-bodied, double-tailed form; it is kept as an ornamental freshwater aquarium/pond fish.","https://a-z-animals.com/media/2022/07/Red-cap-Orandas-1024x577.jpg","oranda goldfish","The [REDACTED] is a fancy, domesticated [REDACTED] variety characterized by a prominent fleshy headgrowth and a deep-bodied, double-tailed form; it is kept as an ornamental freshwater aquarium/pond fish."
"Orange Baboon Tarantula","Pterinochilus murinus","A fast, defensive Old World tarantula species widely known in the arachnid hobby as the “Orange Baboon Tarantula (OBT),” notable for its vivid orange coloration (in many morphs) and heavy webbing behavior.","https://a-z-animals.com/media/2022/10/shutterstock_254150242-1024x740.jpg","orange baboon tarantula","A fast, defensive Old World [REDACTED] species widely known in the arachnid hobby as the “[REDACTED] (OBT),” notable for its vivid [REDACTED] coloration (in many morphs) and heavy webbing behavior."
"Orange Dream Ball Python","Python regius","A domestically produced (captive-bred) color/pattern morph of the Ball Python. “Orange Dream” is a heritable trait selected by breeders; individuals remain the same species as wild Ball Pythons (Python regius).","https://a-z-animals.com/media/2022/10/Orange-Dream-Ball-Python-1024x559.jpg","orange dream ball python","A domestically produced (captive-bred) color/pattern morph of the [REDACTED] [REDACTED]. “[REDACTED] [REDACTED]” is a heritable trait selected by breeders; individuals remain the same species as wild [REDACTED] [REDACTED]s ([REDACTED] regius)."
"Orange Roughy","Hoplostethus atlanticus","A long-lived, slow-growing deep-sea ray-finned fish (a slimehead/roughy) harvested commercially and known for forming aggregations over seamounts and slopes.","https://a-z-animals.com/media/2022/11/Orange-Roughy-3-1024x683.jpg","orange roughy","A long-lived, slow-growing deep-sea ray-finned fish (a slimehead/[REDACTED]) harvested commercially and known for forming aggregations over seamounts and slopes."
"Orange Spider","Araneus marmoreus","The marbled orb-weaver is a variable-colored North American spider best known for orange “pumpkin” forms and a marbled abdomen pattern. It builds classic circular orb webs, usually at dusk, and preys on flying insects. It is harmless to people and common in late summer and fall.","https://a-z-animals.com/media/2023/01/iStock-587223294-1024x681.jpg","orange spider","The marbled orb-weaver is a variable-colored North American [REDACTED] best known for [REDACTED] “pumpkin” forms and a marbled abdomen pattern. It builds classic circular orb webs, usually at dusk, and preys on flying insects. It is harmless to people and common in late summer and fall."
"Orange Tanager (Orange-Headed Tanager)",NA,"The name suggests a tanager (a passerine songbird), but “Orange Tanager” is ambiguous without a region or scientific name. Most tanagers are small-to-medium, often brightly colored fruit- and insect-eaters of the Neotropics.","https://a-z-animals.com/media/2022/10/8EF9625C-3568-483C-8E81-3E99582E5EBC-1024x857.jpg","orange tanager","The name suggests a [REDACTED] (a passerine songbird), but “[REDACTED] [REDACTED]” is ambiguous without a region or scientific name. Most [REDACTED]s are small-to-medium, often brightly colored fruit- and insect-eaters of the Neotropics."
"Orange-Crowned Warbler","Leiothlypis celata","A small North American wood-warbler (New World warbler) with generally olive-gray upperparts and yellowish underparts; the orange crown patch is often hidden and may be difficult to see in the field.","https://a-z-animals.com/media/2022/03/Orange-Crowned-Warbler-header-1024x614.jpg","orange-crowned warbler","A small North American wood-[REDACTED] (New World [REDACTED]) with generally olive-gray upperparts and yellowish underparts; the orange crown patch is often hidden and may be difficult to see in the field."
"Orangutan","Pongo","Orangutans are large arboreal great apes (family Hominidae) in the genus Pongo, characterized by long arms, reddish-brown hair, and strong adaptations for life in the forest canopy. They are among the most intelligent primates and are notable for tool use and complex foraging behavior.","https://a-z-animals.com/media/animals/images/original/orang-utan-768x1024.jpg","orangutan","[REDACTED]s are large arboreal great apes (family Hominidae) in the genus Pongo, characterized by long arms, reddish-brown hair, and strong adaptations for life in the forest canopy. They are among the most intelligent primates and are notable for tool use and complex foraging behavior."
"Orb Weaver","Araneidae","Araneidae are a large family of true spiders known for building orb-shaped capture webs and for pronounced sexual dimorphism in many species. They are widespread and common in gardens, forests, grasslands, and human structures.","https://a-z-animals.com/media/2021/10/Orb-Weaver-header-1024x439.jpg","orb weaver","Araneidae are a large family of true spiders known for building [REDACTED]-shaped capture webs and for pronounced sexual dimorphism in many species. They are widespread and common in gardens, forests, grasslands, and human structures."
"Orchard Oriole","Icterus spurius","A small New World blackbird (family Icteridae) and the smallest North American oriole; adult males are chestnut (maroon) and black, while females/immatures are yellow-green to olive with pale underparts. Notable for rich, hurried warbling song and preference for open woodland edges.","https://a-z-animals.com/media/2022/08/shutterstock_137242778-1024x614.jpg","orchard oriole","A small New World blackbird (family Icteridae) and the smallest North American [REDACTED]; adult males are chestnut (maroon) and black, while females/immatures are yellow-green to olive with pale underparts. Notable for rich, hurried warbling song and preference for open woodland edges."
"Orchid Dottyback","Pseudochromis fridmani","A small, vividly purple-to-magenta reef-associated dottyback popular in marine aquaria; native to the Red Sea and known for its bold, territorial behavior typical of dottybacks.","https://a-z-animals.com/media/2022/12/Orchid-Dottyback-3-1024x683.jpg","orchid dottyback","A small, vividly purple-to-magenta reef-associated [REDACTED] popular in marine aquaria; native to the Red Sea and known for its bold, territorial behavior typical of [REDACTED]s."
"Oregon Spotted Frog","Rana pretiosa","A medium-sized ranid frog distinguished by dark dorsal spots and a strong association with warm, shallow wetlands; historically widespread in the Pacific Northwest but now highly localized.","https://a-z-animals.com/media/2022/11/Oregon-Spotted-Frog-3-1024x650.jpg","oregon spotted frog","A medium-sized ranid [REDACTED] distinguished by dark dorsal spots and a strong association with warm, shallow wetlands; historically widespread in the Pacific Northwest but now highly localized."
"Ori-Pei","Canis lupus familiaris","The Ori-Pei is a mixed-breed domestic dog (designer cross) most often produced by crossing a Pug with a Chinese Shar-Pei. It is not a standardized zoological species/subspecies; it is a domesticated dog variety within Canis lupus familiaris.","https://a-z-animals.com/media/2022/11/Ori-Pei1.jpg","ori-pei","The [REDACTED] is a mixed-breed domestic dog (designer cross) most often produced by crossing a Pug with a Chinese Shar-Pei. It is not a standardized zoological species/subspecies; it is a domesticated dog variety within Canis lupus familiaris."
"Oribi","Ourebia ourebi","The oribi is a small, slender African antelope (family Bovidae) known for its reddish-brown coat, white underparts, and upright posture in open grasslands. Males typically carry short, straight horns; females usually lack horns.","https://a-z-animals.com/media/2022/11/shutterstock_1489814363-1024x576.jpg","oribi","The [REDACTED] is a small, slender African antelope (family Bovidae) known for its reddish-brown coat, white underparts, and upright posture in open grasslands. Males typically carry short, straight horns; females usually lack horns."
"Oriental Cockroach","Blatta orientalis","Blatta orientalis is a common synanthropic (human-associated) cockroach species, often considered a household pest. It is typically darker and more cold-tolerant than some other common indoor roaches.","https://a-z-animals.com/media/2021/12/oriental-cockroach-picture-id1184959754-e1658319664234-1024x535.jpg","oriental cockroach","Blatta [REDACTED]is is a common synanthropic (human-associated) [REDACTED] species, often considered a household pest. It is typically darker and more cold-tolerant than some other common indoor roaches."
"Oriental Dwarf Kingfisher","Ceyx erithaca","A very small, brightly colored forest kingfisher of South and Southeast Asia, known for vivid orange-red plumage and a compact body and bill. Typically associated with shaded forest streams and damp understory.","https://a-z-animals.com/media/2025/09/shutterstock-2660894791-huge-licensed-scaled-1024x683.jpg","oriental dwarf kingfisher","A very small, brightly colored forest [REDACTED] of South and Southeast Asia, known for vivid orange-red plumage and a compact body and bill. Typically associated with shaded forest streams and damp understory."
"Orinoco Crocodile","Crocodylus intermedius","A large, river-dwelling crocodile of northern South America, historically heavily hunted for its hide and now among the most threatened crocodilian species.","https://a-z-animals.com/media/2022/10/shutterstock_1619052718-1024x683.jpg","orinoco crocodile","A large, river-dwelling [REDACTED] of northern South America, historically heavily hunted for its hide and now among the most threatened crocodilian species."
"Ornate Bichir","Polypterus ornatipinnis","The Ornate Bichir (Polypterus ornatipinnis) is an African freshwater bichir noted for its striking, maze-like dark-and-light patterning. Bichirs are primitive ray-finned fishes with lungs used for air-breathing and a series of dorsal finlets along the back.","https://a-z-animals.com/media/2026/01/shutterstock-2070639866-huge-licensed-scaled-1024x679.jpg","ornate bichir","The [REDACTED] (Polypterus ornatipinnis) is an African freshwater [REDACTED] noted for its striking, maze-like dark-and-light patterning. [REDACTED]s are primitive ray-finned fishes with lungs used for air-breathing and a series of dorsal finlets along the back."
"Ornate Black-Tailed Rattlesnake","Crotalus molossus ornatus","A venomous pit viper (rattlesnake) in the black-tailed rattlesnake complex, characterized by a typically dark/black tail and variable dorsal patterning that may appear 'ornate.'","https://a-z-animals.com/media/2022/11/iStock-152997293-1024x683.jpg","ornate black-tailed rattlesnake","A venomous pit viper ([REDACTED]) in the [REDACTED] [REDACTED] complex, characterized by a typically dark/black tail and variable dorsal patterning that may appear '[REDACTED].'"
"Ornate Box Turtle","Terrapene ornata","The Ornate Box Turtle (Terrapene ornata) is a small, terrestrial emydid turtle of North American grasslands and open habitats, known for its highly domed shell and yellow radiating markings (‘ornate’ pattern) and for the box-turtle trait of closing its shell tightly via hinged plastron lobes.","https://a-z-animals.com/media/2022/11/shutterstock_137590298-1024x683.jpg","ornate box turtle","The [REDACTED] (Terrapene ornata) is a small, terrestrial emydid [REDACTED] of North American grasslands and open habitats, known for its highly domed shell and yellow radiating markings (‘[REDACTED]’ pattern) and for the [REDACTED]-[REDACTED] trait of closing its shell tightly via hinged plastron lobes."
"Ornithocheirus","Ornithocheirus","Ornithocheirus is an extinct genus of large pterosaurs (flying reptiles) in the family Ornithocheiridae, known primarily from Early Cretaceous deposits. It is commonly reconstructed as a soaring coastal flier and fish-eater.","https://a-z-animals.com/media/2022/11/Ornithocheirus-1024x335.jpg","ornithocheirus","[REDACTED] is an extinct genus of large pterosaurs (flying reptiles) in the family Ornithocheiridae, known primarily from Early Cretaceous deposits. It is commonly reconstructed as a soaring coastal flier and fish-eater."
"Ornithomimus","Ornithomimus","Ornithomimus is a genus of slender, fast-running theropod dinosaurs within Ornithomimidae (“ostrich-mimic” dinosaurs). Members of this group are typically long-legged, long-necked, lightly built, and often interpreted as omnivorous or opportunistic feeders.","https://a-z-animals.com/media/2022/05/Ornithomimus-header-1024x614.jpg","ornithomimus","[REDACTED] is a genus of slender, fast-running theropod dinosaurs within Ornithomimidae (“ostrich-mimic” dinosaurs). Members of this group are typically long-legged, long-necked, lightly built, and often interpreted as omnivorous or opportunistic feeders."
"Ortolan Bunting","Emberiza hortulana","A small passerine bird (a bunting) of open country across parts of Europe and western/central Asia, known for its migratory behavior and historically for culinary use in parts of Europe.","https://a-z-animals.com/media/2022/03/Ortolan-Bunting-header-1024x614.jpg","ortolan bunting","A small passerine bird (a [REDACTED]) of open country across parts of Europe and western/central Asia, known for its migratory behavior and historically for culinary use in parts of Europe."
"Oscar Fish","Astronotus ocellatus","The Oscar is a large, intelligent South American cichlid known for its bold behavior, strong parental care, and popularity in the freshwater aquarium trade.","https://a-z-animals.com/media/2026/01/shutterstock-2442888687-huge-licensed-scaled-1024x682.jpg","oscar fish","The [REDACTED] is a large, intelligent South American cichlid known for its bold behavior, strong parental care, and popularity in the freshwater aquarium trade."
"Osprey","Pandion haliaetus","The Osprey is a cosmopolitan, fish-specialist bird of prey known for hovering and plunge-diving feet-first to capture fish; it is the sole extant member of its family (Pandionidae).","https://a-z-animals.com/media/2022/10/shutterstock_2163209765-1024x683.jpg","osprey","The [REDACTED] is a cosmopolitan, fish-specialist bird of prey known for hovering and plunge-diving feet-first to capture fish; it is the sole extant member of its family (Pandionidae)."
"Ostracod","Ostracoda","Ostracods are small bivalved crustaceans enclosed in a calcified carapace, occurring in marine and freshwater habitats worldwide and extremely abundant in the fossil record.","https://a-z-animals.com/media/2026/03/shutterstock-2571463913-huge-licensed-scaled-1024x682.jpg","ostracod","[REDACTED]s are small bivalved crustaceans enclosed in a calcified carapace, occurring in marine and freshwater habitats worldwide and extremely abundant in the fossil record."
"Ostrich","Struthio camelus","The common ostrich is the world’s largest living bird and a flightless ratite adapted for fast running in open habitats.","https://a-z-animals.com/media/2023/10/GettyImages-125916995-1024x684.jpg","ostrich","The common [REDACTED] is the world’s largest living bird and a flightless ratite adapted for fast running in open habitats."
"Otter","Lutrinae","Otters are semi-aquatic to fully marine mustelids (subfamily Lutrinae) adapted for swimming and foraging in water, with streamlined bodies, dense insulating fur, and webbed feet in many species. They are carnivorous predators feeding mainly on fish and aquatic invertebrates, and they occur on every continent except Antarctica (with the sea otter occupying coastal marine habitats).","https://a-z-animals.com/media/2023/09/shutterstock-3662870-huge-licensed-scaled-1024x679.jpg","otter","[REDACTED]s are semi-aquatic to fully marine mustelids (subfamily Lutrinae) adapted for swimming and foraging in water, with streamlined bodies, dense insulating fur, and webbed feet in many species. They are carnivorous predators feeding mainly on fish and aquatic invertebrates, and they occur on every continent except Antarctica (with the sea [REDACTED] occupying coastal marine habitats)."
"Otterhound","Canis lupus familiaris","The Otterhound is a rare British scent hound breed developed to hunt otters by tracking scent over land and through water. It is a large, rough-coated hound with strong swimming ability and an acute sense of smell.","https://a-z-animals.com/media/2021/07/Otterhound-header-2-1024x439.jpg","otterhound","The [REDACTED] is a rare British scent hound breed developed to hunt otters by tracking scent over land and through water. It is a large, rough-coated hound with strong swimming ability and an acute sense of smell."
"Ovenbird","Seiurus aurocapilla","A small North American songbird in the wood-warbler family (Parulidae), best known for its loud, ringing song and ground-nesting habits in mature deciduous or mixed forests.","https://a-z-animals.com/media/2022/10/Ovenbird-1024x682.jpg","ovenbird","A small North American songbird in the wood-warbler family (Parulidae), best known for its loud, ringing song and ground-nesting habits in mature deciduous or mixed forests."
"Oviraptor","Oviraptor","Oviraptor is a genus of small-to-medium, bird-like oviraptorid theropod dinosaurs from the Late Cretaceous of Mongolia, characterized by a short deep skull and a toothless beak; it is famous for fossils preserved in brooding posture over nests.","https://a-z-animals.com/media/2022/05/Oviraptor-holding-an-egg-1024x614.jpg","oviraptor","[REDACTED] is a genus of small-to-medium, bird-like [REDACTED]id theropod dinosaurs from the Late Cretaceous of Mongolia, characterized by a short deep skull and a toothless beak; it is famous for fossils preserved in brooding posture over nests."
"Owl","Strigiformes","Owls (order Strigiformes) are nocturnal-to-crepuscular birds of prey characterized by forward-facing eyes, a facial disc that helps funnel sound, and highly adapted hearing for hunting. The order contains two main families: Tytonidae (barn owls) and Strigidae (true owls).","https://a-z-animals.com/media/2022/02/Owl-header-1024x535.jpg","owl","[REDACTED]s (order Strigiformes) are nocturnal-to-crepuscular birds of prey characterized by forward-facing eyes, a facial disc that helps funnel sound, and highly adapted hearing for hunting. The order contains two main families: Tytonidae (barn [REDACTED]s) and Strigidae (true [REDACTED]s)."
"Owl Butterfly","Caligo","Owl butterflies (genus Caligo) are large Neotropical brush-footed butterflies famous for their oversized eyespots that resemble an owl’s eyes, a defensive adaptation that can deter predators. Adults often fly at dusk or in shaded forest understories and are frequently seen in butterfly conservatories.","https://a-z-animals.com/media/2022/11/shutterstock_2155079079-1024x683.jpg","owl butterfly","[REDACTED] butterflies (genus Caligo) are large Neotropical brush-footed butterflies famous for their oversized eyespots that resemble an [REDACTED]’s eyes, a defensive adaptation that can deter predators. Adults often fly at dusk or in shaded forest understories and are frequently seen in [REDACTED] conservatories."
"Owlfly (Ascalaphidae)","Ascalaphidae","Owlflies (family Ascalaphidae) are predatory net-winged insects closely related to antlions. Adults are aerial hunters with large eyes and distinctive clubbed antennae; larvae are also predatory.","https://a-z-animals.com/media/2023/01/Owlfly-2-1024x683.jpg","owlfly","Owlflies (family [REDACTED]) are predatory net-winged insects closely related to antlions. Adults are aerial hunters with large eyes and distinctive clubbed antennae; larvae are also predatory."
"Ox","Bos taurus","An ox is typically a trained draft animal—most often a castrated adult male domestic cattle—used historically for pulling plows, carts, and other loads. The term describes sex/role rather than a separate species.","https://a-z-animals.com/media/2022/02/ox-1024x535.jpg","ox","An [REDACTED] is typically a trained draft animal—most often a castrated adult male domestic cattle—used historically for pulling plows, carts, and other loads. The term describes sex/role rather than a separate species."
"Oxpecker","Buphagus","Oxpeckers are African passerine birds that live in close association with large mammals, feeding on ectoparasites (especially ticks) and also taking skin debris, earwax, and sometimes blood from wounds. The group comprises two species in a single genus (Buphagus).","https://a-z-animals.com/media/2021/10/Oxpecker-1024x535.jpg","oxpecker","[REDACTED]s are African passerine birds that live in close association with large mammals, feeding on ectoparasites (especially ticks) and also taking skin debris, earwax, and sometimes blood from wounds. The group comprises two species in a single genus (Buphagus)."
"Oyster","Ostreidae","True oysters (Ostreidae) are sessile (attached) marine bivalve mollusks, typically living in coastal and estuarine waters. Many species form dense reefs that provide habitat, stabilize sediments, and improve water clarity through filter feeding.","https://a-z-animals.com/media/Oyster-Ostreidae-thorny-oyster.jpg","oyster","True [REDACTED]s (Ostreidae) are sessile (attached) marine bivalve mollusks, typically living in coastal and estuarine waters. Many species form dense reefs that provide habitat, stabilize sediments, and improve water clarity through filter feeding."
